geneid	Genomic	RNA1	RNA2	H3K4me3	H3K36me3	H3K56ac	H3K27me3	H3K9me2	ATAC	Promoter_ATAC	Promoter_H3K4me3	Promoter_H3K36me3	Promoter_H3K56ac	Promoter_H3K27me3	Promoter_H3K9me2	UP_ATAC	UP_H3K4me3	UP_H3K36me3	UP_H3K56ac	UP_H3K27me3	UP_H3K9me2	DOWN_ATAC	DOWN_H3K4me3	DOWN_H3K36me3	DOWN_H3K56ac	DOWN_H3K27me3	DOWN_H3K9me2	DOWN_ATAC_cov	UP_ATAC_cov	ATAC_cov	Promoter_ATAC_cov	DOWN_Meth_cov	UP_Meth_cov	Promoter_Meth_cov	Meth_cov	DOWN_Genomic_cov	UP_Genomic_cov	Genomic_cov	Promoter_Genomic_cov	DOWN_H3K27me3_cov	UP_H3K27me3_cov	H3K27me3_cov	Promoter_H3K27me3_cov	DOWN_H3K36me3_cov	UP_H3K36me3_cov	H3K36me3_cov	Promoter_H3K36me3_cov	DOWN_H3K4me3_cov	UP_H3K4me3_cov	H3K4me3_cov	Promoter_H3K4me3_cov	DOWN_H3K56ac_cov	UP_H3K56ac_cov	H3K56ac_cov	Promoter_H3K56ac_cov	DOWN_H3K9me2_cov	UP_H3K9me2_cov	H3K9me2_cov	Promoter_H3K9me2_cov	RNA1_cov	RNA2_cov	gene_body_meth	promoter_meth	UP_meth	DOWN_meth	HAP1_promoter_del	HAP2_promoter_del	dn_ds_hap1	dn_ds_hap2	RNA_BOTH	RNA_cov_both
FAIR_000070-T1	-6.7279204545632	-9.30833903013941	-9.4594316186373	-3.70043971814109	-4.39231742277876	-2.32192809488736	-3	-2.32192809488736	-4.8073549220576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.19841267110927	NA	4.04701481951759	4.03121873061072	-2.89792803661844	NA	-3.81917068878535	-3.0028420475157	4.95264935364109	NA	5.33485426933163	5.36527259976453	0.672538983531485	NA	1.20163386116965	1.35614381022528	1.77818198859217	NA	2.89336221076387	1.78240856492737	2.53312614183077	NA	2.71808758396052	2.16992500144231	2.95670359430304	NA	1.93734439215023	2.17951105027151	0.640765859143236	NA	1.21412480535285	0.985500430304885	6.02309066777744	6.03318516464259	NA	NA	NA	NA	0	0	NA	NA	-9.38388532438835	6.02813791621002
FAIR_000124-T1	-0.100271930285897	-0.390672950879645	-0.481126689736616	-0.174678531412947	0.0368367681803718	-0.0752881273042378	0.31315788525963	0.884522782580064	0.0281510403141487	0.215728691055437	0.415037499278844	0	1.22239242133645	0.584962500721156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.1554254317472	4.14241343787374	NA	NA	-2.42046074487276	-3.87034092793118	NA	NA	4.75808993420181	4.92837032301897	NA	NA	1.15055967657538	0.807354922057604	NA	NA	2.63923216324928	1.9297909977186	NA	NA	2.4541758931858	2.27202318906105	NA	NA	1.54596836910529	1.70929063572336	NA	NA	1.23878685958712	0.53605290024021	3.90286373317231	3.8289086076004	0.288626119736535	0.280107919192735	NA	NA	0	0	-0.584962500721156	0	-0.43589982030813	3.86588617038635
FAIR_000207-T1	0.0978473233981454	1.42817290146798	1.68449817427207	-0.267104070142841	-0.0465425859370301	0.0874628412503391	-0.347923303420307	0.652076696579693	0.0551415541924616	0.567040592723894	-0.387023123109247	0.932885804141463	1	-0.415037499278844	0.777607578663552	0.55019708256048	0	0.584962500721156	NA	-0.584962500721156	NA	NA	NA	NA	NA	NA	NA	NA	5.07382023329167	3.47638168756724	2.58255600301406	NA	-1.06257223780377	-1.55905185978231	-2.64956116101034	NA	4.73063995591679	5.18745105402733	4.21955576916691	NA	0.948600847493356	1.1243281350022	0.622930350920177	NA	1.77399632511117	2.86591881455221	1.81557542886257	NA	1.02147972741045	2.58976348698498	1.96716860753263	NA	1.29278174922785	1.84799690655495	1.39506279951758	NA	0.443606651475615	1.18269229751619	0.748461233004036	4.7382446264025	4.75682279522716	0.387023123109247	2.51657552574091	-2.58496250072116	NA	0	0	-0.415037499278844	-2	1.55633553787002	4.74753371081483
FAIR_000213-T1	0.123514536485354	-0.0412226627265131	0.222392421336448	0.0356239097307212	-0.425305834732671	-0.497499659470817	0.222392421336448	-0.932885804141463	0.400537929583729	-0.222392421336449	0	0.321928094887362	-1	1	NA	NA	NA	NA	NA	NA	NA	0.241008099503794	0.289506617194985	0.807354922057604	0.584962500721156	2	-2	4.82956242045659	NA	3.64846544302731	3.22958792274065	-4.43484315270308	NA	-1.49918389956835	-3.05920966810546	4.81584754789181	NA	4.96716860753263	4.32768736417605	0.886745013747779	NA	1.02147972741045	0.713695814843359	2.12122503683885	NA	2.86789646399265	1.55090066464752	2.2969397977286	NA	2.86195536414487	1.51096191927738	1.91967748982732	NA	2.4931349223055	1.8073549220576	0.686281063816075	NA	1.25096157353322	0.613531652917927	4.37273870924276	4.28495536958281	0	-0.321928094887362	NA	0.678071905112638	0	0	1	0	0.0905848793049673	4.32884703941278
FAIR_000227-T1	0.132862907220769	0.812472682092253	0.891577540114014	-0.0113153132278345	-0.147430363655226	0.522421034652443	-0.682259702076071	0.656045598782638	0.0546195845633211	0.0588936890535683	0.251538766995964	1.77258950389693	0.678071905112638	-1.58496250072116	-1.58496250072116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.46336088581666	3.16992500144231	NA	NA	-4.07522598017432	-3.79282046250187	NA	NA	4.85648777949568	4.23572705983806	NA	NA	1.52105073690096	1.04264433740849	NA	NA	2.76977173924945	1.52606881166759	NA	NA	2.44625622988956	1.83187724119167	NA	NA	1.72683121703249	1.18269229751619	NA	NA	1.16349873228288	0.584962500721156	3.96060241923828	3.81065410470872	-1.66742466091313	-1.4594316186373	NA	NA	0	0	0.485426827170242	1	0.852025111103133	3.8856282619735
FAIR_000228-T1	-0.099800606990442	0.840521785992803	0.68265917460829	0.321928094887363	0.602036014080098	0.632268215499512	-1	-0.874469117916141	0	-1.48542682717024	1	3.70043971814109	2.32192809488736	-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.28688114778816	3.55581615506164	NA	NA	-3.13549992037233	-4.02202605839021	NA	NA	5.07638806851284	4.71479501111816	NA	NA	1.37851162325373	0.823749360308273	NA	NA	2.86789646399265	1.64616265715789	NA	NA	2.8094144442359	1.58014548442338	NA	NA	1.84799690655495	1.36737106564853	NA	NA	1.0496307677246	0.748461233004036	4.05337487350226	4.12696751988609	-0.440572591385981	0	NA	NA	0	0	1.58496250072116	-1.58496250072116	0.761590480300546	4.09017119669418
FAIR_000255-T1	0.0836579290469102	0.654275592053214	0.754713442316376	0.526068811667588	0.862496476250065	-0.0588936890535683	-0.84799690655495	-0.192645077942396	-0.36476429279762	NA	NA	NA	-0.415037499278844	NA	NA	NA	NA	NA	-0.584962500721156	NA	NA	NA	NA	NA	-0.584962500721156	NA	NA	5.06350294230616	5.06350294230616	3.96809075204526	4.52105073690096	-7.0574225342339	-7.0574225342339	-2.02217917795652	-2.85564714138123	5.25361115194717	5.25361115194717	5.0866139474095	5.25361115194717	0.55581615506164	0.55581615506164	1.25701061820602	1.22032995487956	1.73984810269933	1.73984810269933	1.70487196445635	1.53605290024021	1.87578006306849	1.87578006306849	2.70487196445635	1.79493566280354	1.72683121703249	1.72683121703249	2.35049724708413	2.01077983875324	0.704871964456353	0.704871964456353	1.05658352836637	0.855989697308481	6.24500984566979	6.24155298664958	-0.637429920615292	-0.963474123974886	0	0	0	0	0	-0.415037499278844	0.704494517184795	6.24328141615969
FAIR_000344-T1	-1.41503749927884	1.25525705524208	1.10433665981474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.59931779369823	1.79493566280354	NA	NA	-2.32282267578669	-5.0291641344671	NA	NA	4.20554891117303	4.32264926213102	NA	NA	1.06350294230616	1.53106949272595	NA	NA	0.505890929729957	0.678071905112638	NA	NA	0.7311832415722	0.7311832415722	NA	NA	0.356143810225275	0.53605290024021	NA	NA	0.31034012061215	0.298658315564515	3.43859616441098	3.4683312165721	0	-4.85798099512757	NA	NA	0	0	NA	NA	1.17979685752841	3.45346369049154
FAIR_000357-T1	0.519778331961019	2.42998784074482	2.28010791919273	1.29545588352617	1.42884329880387	1.37851162325373	-1.73696559416621	-1.32192809488736	-0.271302021817394	NA	2.11547721741994	1.22239242133645	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.15055967657538	2.39231742277876	NA	NA	-1.3298972158999	-2.36450955184267	NA	NA	4.54905302933729	4.38059093426592	NA	NA	0.933572638261024	0.773996325111173	NA	NA	2.45154083301783	1.790772037862	NA	NA	2.43295940727611	2.22032995487956	NA	NA	1.48026512205446	2.11769504266975	NA	NA	1.19534759832222	0.495695162624069	4.95113155977894	5.00858728787346	0.205114429904612	0	NA	NA	1	0	0	-1.58496250072116	2.35504787996878	4.9798594238262
FAIR_000361-T1	-0.125952661078498	1.39231742277876	0.762500686273344	-0.459431618637297	0.53051471669878	-0.12832409697554	0	-0.46948528330122	0.0267173383757795	0.140862535839849	-1.70043971814109	0	0.415037499278844	-0.736965594166206	-0.736965594166206	NA	NA	NA	NA	NA	NA	-0.122856747785534	NA	NA	0.415037499278844	-0.584962500721156	0.736965594166206	5.20906339534927	NA	3.51349074558812	3.92694824794977	-2.26894538998499	NA	-3.58966105952008	-2.75150878135306	4.86195536414487	NA	5.08193608171943	4.41683974191283	1.51601514700366	NA	1.31034012061215	1.15055967657538	1.16992500144231	NA	2.62293035092018	1.37851162325373	1.15055967657538	NA	2.49825086752783	1.78240856492737	1.15055967657538	NA	2.1407786557828	1.43829285157915	1.54596836910529	NA	1.35614381022528	0.84799690655495	2.88159839573171	2.89964726017704	-0.493814612662961	-1.04182017569463	NA	NA	0	0	1.58496250072116	1	1.07740905452605	2.89062282795437
