geneid	Genomic	RNA1	RNA2	H3K4me3	H3K36me3	H3K56ac	H3K27me3	ATAC	Promoter_ATAC	Promoter_H3K4me3	Promoter_H3K36me3	Promoter_H3K56ac	Promoter_H3K27me3	UP_ATAC	UP_H3K4me3	UP_H3K36me3	UP_H3K56ac	UP_H3K27me3	DOWN_ATAC	DOWN_H3K4me3	DOWN_H3K36me3	DOWN_H3K56ac	DOWN_H3K27me3	DOWN_ATAC_cov	UP_ATAC_cov	ATAC_cov	Promoter_ATAC_cov	DOWN_Meth_cov	UP_Meth_cov	Promoter_Meth_cov	Meth_cov	DOWN_Genomic_cov	UP_Genomic_cov	DOWN_H3K27me3_cov	UP_H3K27me3_cov	H3K27me3_cov	Promoter_H3K27me3_cov	DOWN_H3K36me3_cov	UP_H3K36me3_cov	H3K36me3_cov	Promoter_H3K36me3_cov	DOWN_H3K4me3_cov	UP_H3K4me3_cov	H3K4me3_cov	Promoter_H3K4me3_cov	DOWN_H3K56ac_cov	UP_H3K56ac_cov	H3K56ac_cov	Promoter_H3K56ac_cov	RNA1_cov	RNA2_cov	gene_body_meth	promoter_meth	UP_meth	DOWN_meth	HAP1_promoter_del	HAP2_promoter_del	dn_ds_hap1	dn_ds_hap2	RNA_BOTH	RNA_cov_both
FAIR_000070-T1	-6.727920455	-9.30833903	-9.459431619	-3.700439718	-4.392317423	-2.321928095	-3	-4.807354922	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.198412671	NA	4.04701482	4.031218731	-2.897928037	NA	-3.819170689	-3.002842048	4.952649354	NA	0.672538984	NA	1.201633861	1.35614381	1.778181989	NA	2.893362211	1.782408565	2.533126142	NA	2.718087584	2.169925001	2.956703594	NA	1.937344392	2.17951105	6.023090668	6.033185165	NA	NA	NA	NA	0	0	NA	NA	-9.383885324	6.028137916
FAIR_000124-T1	-0.10027193	-0.390672951	-0.48112669	-0.174678531	0.036836768	-0.075288127	0.313157885	0.02815104	0.215728691	0.415037499	0	1.222392421	0.584962501	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.155425432	4.142413438	NA	NA	-2.420460745	-3.870340928	NA	NA	NA	NA	1.150559677	0.807354922	NA	NA	2.639232163	1.929790998	NA	NA	2.454175893	2.272023189	NA	NA	1.545968369	1.709290636	3.902863733	3.828908608	0.28862612	0.280107919	NA	NA	0	0	-0.584962501	0	-0.43589982	3.86588617
FAIR_000207-T1	0.097847323	1.428172901	1.684498174	-0.26710407	-0.046542586	0.087462841	-0.347923303	0.055141554	0.567040593	-0.387023123	0.932885804	1	-0.415037499	0.550197083	0	0.584962501	NA	-0.584962501	NA	NA	NA	NA	NA	NA	5.073820233	3.476381688	2.582556003	NA	-1.062572238	-1.55905186	-2.649561161	NA	4.730639956	NA	0.948600847	1.124328135	0.622930351	NA	1.773996325	2.865918815	1.815575429	NA	1.021479727	2.589763487	1.967168608	NA	1.292781749	1.847996907	1.3950628	4.738244626	4.756822795	0.387023123	2.516575526	-2.584962501	NA	0	0	-0.415037499	-2	1.556335538	4.747533711
FAIR_000213-T1	0.123514536	-0.041222663	0.222392421	0.03562391	-0.425305835	-0.497499659	0.222392421	0.40053793	-0.222392421	0	0.321928095	-1	1	NA	NA	NA	NA	NA	0.2410081	0.289506617	0.807354922	0.584962501	2	4.82956242	NA	3.648465443	3.229587923	-4.434843153	NA	-1.4991839	-3.059209668	4.815847548	NA	0.886745014	NA	1.021479727	0.713695815	2.121225037	NA	2.867896464	1.550900665	2.296939798	NA	2.861955364	1.510961919	1.91967749	NA	2.493134922	1.807354922	4.372738709	4.28495537	0	-0.321928095	NA	0.678071905	0	0	1	0	0.090584879	4.328847039
FAIR_000227-T1	0.132862907	0.812472682	0.89157754	-0.011315313	-0.147430364	0.522421035	-0.682259702	0.054619585	0.058893689	0.251538767	1.772589504	0.678071905	-1.584962501	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.463360886	3.169925001	NA	NA	-4.07522598	-3.792820463	NA	NA	NA	NA	1.521050737	1.042644337	NA	NA	2.769771739	1.526068812	NA	NA	2.44625623	1.831877241	NA	NA	1.726831217	1.182692298	3.960602419	3.810654105	-1.667424661	-1.459431619	NA	NA	0	0	0.485426827	1	0.852025111	3.885628262
FAIR_000228-T1	-0.099800607	0.840521786	0.682659175	0.321928095	0.602036014	0.632268215	-1	0	-1.485426827	1	3.700439718	2.321928095	-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.286881148	3.555816155	NA	NA	-3.13549992	-4.022026058	NA	NA	NA	NA	1.378511623	0.82374936	NA	NA	2.867896464	1.646162657	NA	NA	2.809414444	1.580145484	NA	NA	1.847996907	1.367371066	4.053374874	4.12696752	-0.440572591	0	NA	NA	0	0	1.584962501	-1.584962501	0.76159048	4.090171197
FAIR_000255-T1	0.083657929	0.654275592	0.754713442	0.526068812	0.862496476	-0.058893689	-0.847996907	-0.364764293	NA	NA	NA	-0.415037499	NA	NA	NA	NA	-0.584962501	NA	NA	NA	NA	-0.584962501	NA	5.063502942	5.063502942	3.968090752	4.521050737	-7.057422534	-7.057422534	-2.022179178	-2.855647141	5.253611152	5.253611152	0.555816155	0.555816155	1.257010618	1.220329955	1.739848103	1.739848103	1.704871964	1.5360529	1.875780063	1.875780063	2.704871964	1.794935663	1.726831217	1.726831217	2.350497247	2.010779839	6.245009846	6.241552987	-0.637429921	-0.963474124	0	0	0	0	0	-0.415037499	0.704494517	6.243281416
FAIR_000344-T1	-1.415037499	1.255257055	1.10433666	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.599317794	1.794935663	NA	NA	-2.322822676	-5.029164134	NA	NA	NA	NA	1.063502942	1.531069493	NA	NA	0.50589093	0.678071905	NA	NA	0.731183242	0.731183242	NA	NA	0.35614381	0.5360529	3.438596164	3.468331217	0	-4.857980995	NA	NA	0	0	NA	NA	1.179796858	3.45346369
FAIR_000357-T1	0.519778332	2.429987841	2.280107919	1.295455884	1.428843299	1.378511623	-1.736965594	-0.271302022	NA	2.115477217	1.222392421	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.150559677	2.392317423	NA	NA	-1.329897216	-2.364509552	NA	NA	NA	NA	0.933572638	0.773996325	NA	NA	2.451540833	1.790772038	NA	NA	2.432959407	2.220329955	NA	NA	1.480265122	2.117695043	4.95113156	5.008587288	0.20511443	0	NA	NA	1	0	0	-1.584962501	2.35504788	4.979859424
FAIR_000361-T1	-0.125952661	1.392317423	0.762500686	-0.459431619	0.530514717	-0.128324097	0	0.026717338	0.140862536	-1.700439718	0	0.415037499	-0.736965594	NA	NA	NA	NA	NA	-0.122856748	NA	NA	0.415037499	-0.584962501	5.209063395	NA	3.513490746	3.926948248	-2.26894539	NA	-3.58966106	-2.751508781	4.861955364	NA	1.516015147	NA	1.310340121	1.150559677	1.169925001	NA	2.622930351	1.378511623	1.150559677	NA	2.498250868	1.782408565	1.150559677	NA	2.140778656	1.438292852	2.881598396	2.89964726	-0.493814613	-1.041820176	NA	NA	0	0	1.584962501	1	1.077409055	2.890622828
